elapsed_s,pid,raw,bytes
427.621,2210A8,"6210A800",0x00(0)
427.670,22101F,"7F2231",ERR
427.728,2210B0,"6210B027",0x27(39)
428.232,223050,"7F2231",ERR
428.280,22309A,"7F2231",ERR
428.367,22104F,"62104F73",0x73(115)
429.211,221022,"62102200",0x00(0)
429.272,2210A6,"6210A600",0x00(0)
429.342,2210A8,"6210A800",0x00(0)
429.386,22101F,"7F2231",ERR
429.436,2210B0,"6210B027",0x27(39)
430.188,221022,"62102200",0x00(0)
430.232,2210A6,"6210A600",0x00(0)
430.293,2210A8,"6210A800",0x00(0)
430.344,22101F,"7F2231",ERR
430.401,2210B0,"6210B027",0x27(39)
430.833,2210B1,"6210B100",0x00(0)
431.388,221022,"62102200",0x00(0)
431.434,2210A6,"6210A600",0x00(0)
431.485,2210A8,"6210A800",0x00(0)
431.528,22101F,"7F2231",ERR
431.620,2210B0,"6210B027",0x27(39)
432.370,223050,"7F2231",ERR
432.433,22309A,"7F2231",ERR
432.660,22104F,"62104F73",0x73(115)
433.259,221022,"62102200",0x00(0)
433.307,2210A6,"6210A600",0x00(0)
433.366,2210A8,"6210A844",0x44(68)
433.413,22101F,"7F2231",ERR
433.462,2210B0,"6210B027",0x27(39)
434.205,221022,"62102200",0x00(0)
434.257,2210A6,"6210A600",0x00(0)
434.326,2210A8,"6210A844",0x44(68)
434.411,22101F,"7F2231",ERR
434.492,2210B0,"6210B027",0x27(39)
435.283,221022,"62102200",0x00(0)
435.334,2210A6,"6210A600",0x00(0)
435.386,2210A8,"6210A800",0x00(0)
435.434,22101F,"7F2231",ERR
435.490,2210B0,"6210B027",0x27(39)
435.544,2210B1,"6210B100",0x00(0)
436.430,221022,"62102200",0x00(0)
436.480,2210A6,"6210A600",0x00(0)
436.525,2210A8,"6210A844",0x44(68)
436.570,22101F,"7F2231",ERR
436.621,2210B0,"6210B027",0x27(39)
437.029,223050,"7F2231",ERR
437.078,22309A,"7F2231",ERR
437.162,22104F,"62104F73",0x73(115)
438.209,221022,"62102200",0x00(0)
438.257,2210A6,"6210A600",0x00(0)
438.312,2210A8,"6210A800",0x00(0)
438.359,22101F,"7F2231",ERR
438.409,2210B0,"6210B027",0x27(39)
439.152,221022,"62102200",0x00(0)
439.210,2210A6,"6210A600",0x00(0)
439.263,2210A8,"6210A844",0x44(68)
439.319,22101F,"7F2231",ERR
439.369,2210B0,"6210B027",0x27(39)
439.583,2210B1,"6210B100",0x00(0)
440.348,221022,"62102200",0x00(0)
440.400,2210A6,"6210A600",0x00(0)
440.452,2210A8,"6210A843",0x43(67)
440.501,22101F,"7F2231",ERR
440.551,2210B0,"6210B027",0x27(39)
441.045,223050,"7F2231",ERR
441.100,22309A,"7F2231",ERR
441.186,22104F,"62104F73",0x73(115)
441.986,221022,"62102200",0x00(0)
442.033,2210A6,"6210A600",0x00(0)
442.083,2210A8,"6210A800",0x00(0)
442.135,22101F,"7F2231",ERR
442.190,2210B0,"6210B027",0x27(39)
442.924,221022,"62102200",0x00(0)
442.972,2210A6,"6210A600",0x00(0)
443.033,2210A8,"6210A800",0x00(0)
443.089,22101F,"7F2231",ERR
443.142,2210B0,"6210B027",0x27(39)
443.575,2210B1,"6210B100",0x00(0)
444.397,221022,"62102200",0x00(0)
444.445,2210A6,"6210A600",0x00(0)
444.492,2210A8,"6210A800",0x00(0)
444.559,22101F,"7F2231",ERR
444.616,2210B0,"6210B027",0x27(39)
445.301,223050,"7F2231",ERR
445.517,22309A,"7F2231",ERR
445.600,22104F,"62104F73",0x73(115)
446.195,221022,"62102200",0x00(0)
446.243,2210A6,"6210A600",0x00(0)
446.288,2210A8,"6210A800",0x00(0)
446.336,22101F,"7F2231",ERR
446.387,2210B0,"6210B027",0x27(39)
447.115,221022,"62102200",0x00(0)
447.161,2210A6,"6210A600",0x00(0)
447.204,2210A8,"6210A800",0x00(0)
447.258,22101F,"7F2231",ERR
447.305,2210B0,"6210B027",0x27(39)
448.164,221022,"62102200",0x00(0)
448.210,2210A6,"6210A600",0x00(0)
448.258,2210A8,"6210A800",0x00(0)
448.306,22101F,"7F2231",ERR
448.354,2210B0,"6210B027",0x27(39)
448.400,2210B1,"6210B100",0x00(0)
449.171,221022,"62102200",0x00(0)
449.216,2210A6,"6210A600",0x00(0)
449.294,2210A8,"6210A800",0x00(0)
449.359,22101F,"7F2231",ERR
449.426,2210B0,"6210B027",0x27(39)
449.904,223050,"7F2231",ERR
449.951,22309A,"7F2231",ERR
450.031,22104F,"62104F73",0x73(115)
450.818,221022,"62102200",0x00(0)
450.871,2210A6,"6210A600",0x00(0)
450.925,2210A8,"6210A844",0x44(68)
450.970,22101F,"7F2231",ERR
451.048,2210B0,"6210B027",0x27(39)
451.900,221022,"62102200",0x00(0)
451.949,2210A6,"6210A600",0x00(0)
452.004,2210A8,"6210A800",0x00(0)
452.054,22101F,"7F2231",ERR
452.109,2210B0,"6210B027",0x27(39)
452.286,2210B1,"6210B100",0x00(0)
453.097,221022,"62102200",0x00(0)
453.143,2210A6,"6210A600",0x00(0)
453.194,2210A8,"6210A800",0x00(0)
453.242,22101F,"7F2231",ERR
453.290,2210B0,"6210B027",0x27(39)
453.769,223050,"7F2231",ERR
453.819,22309A,"7F2231",ERR
453.908,22104F,"62104F73",0x73(115)
454.753,221022,"62102200",0x00(0)
454.823,2210A6,"6210A600",0x00(0)
454.888,2210A8,"6210A800",0x00(0)
454.961,22101F,"7F2231",ERR
455.030,2210B0,"6210B027",0x27(39)
455.801,221022,"62102200",0x00(0)
455.847,2210A6,"6210A600",0x00(0)
455.907,2210A8,"6210A844",0x44(68)
455.955,22101F,"7F2231",ERR
456.023,2210B0,"6210B027",0x27(39)
456.329,2210B1,"6210B100",0x00(0)
456.993,221022,"62102200",0x00(0)
457.039,2210A6,"6210A600",0x00(0)
457.087,2210A8,"6210A844",0x44(68)
457.141,22101F,"7F2231",ERR
457.189,2210B0,"6210B027",0x27(39)
457.811,223050,"7F2231",ERR
457.859,22309A,"7F2231",ERR
457.944,22104F,"62104F73",0x73(115)
458.545,221022,"62102200",0x00(0)
458.593,2210A6,"6210A600",0x00(0)
458.662,2210A8,"6210A800",0x00(0)
458.752,22101F,"7F2231",ERR
458.823,2210B0,"6210B027",0x27(39)
459.555,221022,"62102200",0x00(0)
459.603,2210A6,"6210A600",0x00(0)
459.655,2210A8,"6210A800",0x00(0)
459.709,22101F,"7F2231",ERR
459.766,2210B0,"6210B027",0x27(39)
460.850,221022,"62102200",0x00(0)
460.900,2210A6,"6210A600",0x00(0)
460.951,2210A8,"6210A800",0x00(0)
461.005,22101F,"7F2231",ERR
461.051,2210B0,"6210B027",0x27(39)
461.104,2210B1,"6210B100",0x00(0)
461.851,221022,"62102200",0x00(0)
461.899,2210A6,"6210A600",0x00(0)
461.944,2210A8,"6210A800",0x00(0)
461.997,22101F,"7F2231",ERR
462.049,2210B0,"6210B027",0x27(39)
462.629,223050,"7F2231",ERR
462.678,22309A,"7F2231",ERR
462.765,22104F,"62104F73",0x73(115)
463.505,221022,"62102200",0x00(0)
463.568,2210A6,"6210A600",0x00(0)
463.614,2210A8,"6210A845",0x45(69)
463.665,22101F,"7F2231",ERR
463.717,2210B0,"6210B027",0x27(39)
464.523,221022,"62102200",0x00(0)
464.570,2210A6,"6210A600",0x00(0)
464.620,2210A8,"6210A844",0x44(68)
464.675,22101F,"7F2231",ERR
464.720,2210B0,"6210B027",0x27(39)
464.908,2210B1,"6210B100",0x00(0)
465.530,221022,"62102200",0x00(0)
465.573,2210A6,"6210A600",0x00(0)
465.630,2210A8,"6210A844",0x44(68)
465.691,22101F,"7F2231",ERR
465.764,2210B0,"6210B027",0x27(39)
466.585,223050,"7F2231",ERR
466.633,22309A,"7F2231",ERR
466.715,22104F,"62104F73",0x73(115)
467.355,221022,"62102200",0x00(0)
467.405,2210A6,"6210A600",0x00(0)
467.448,2210A8,"6210A800",0x00(0)
467.493,22101F,"7F2231",ERR
467.549,2210B0,"6210B027",0x27(39)
468.442,221022,"62102200",0x00(0)
468.497,2210A6,"6210A600",0x00(0)
468.548,2210A8,"6210A800",0x00(0)
468.595,22101F,"7F2231",ERR
468.652,2210B0,"6210B027",0x27(39)
468.926,2210B1,"6210B100",0x00(0)
469.440,221022,"62102200",0x00(0)
469.481,2210A6,"6210A600",0x00(0)
469.554,2210A8,"6210A800",0x00(0)
469.639,22101F,"7F2231",ERR
469.714,2210B0,"6210B027",0x27(39)
470.319,223050,"7F2231",ERR
470.365,22309A,"7F2231",ERR
470.446,22104F,"62104F73",0x73(115)
471.022,221022,"62102200",0x00(0)
471.072,2210A6,"6210A600",0x00(0)
471.118,2210A8,"6210A800",0x00(0)
471.168,22101F,"7F2231",ERR
471.220,2210B0,"6210B027",0x27(39)
472.231,221022,"62102200",0x00(0)
472.279,2210A6,"6210A600",0x00(0)
472.322,2210A8,"6210A800",0x00(0)
472.389,22101F,"7F2231",ERR
472.433,2210B0,"6210B027",0x27(39)
473.186,221022,"62102200",0x00(0)
473.238,2210A6,"6210A600",0x00(0)
473.285,2210A8,"6210A844",0x44(68)
473.330,22101F,"7F2231",ERR
473.374,2210B0,"6210B027",0x27(39)
473.424,2210B1,"6210B100",0x00(0)
474.262,221022,"62102200",0x00(0)
474.311,2210A6,"6210A600",0x00(0)
474.357,2210A8,"6210A800",0x00(0)
474.400,22101F,"7F2231",ERR
474.452,2210B0,"6210B027",0x27(39)
474.833,223050,"7F2231",ERR
474.883,22309A,"7F2231",ERR
474.971,22104F,"62104F73",0x73(115)
475.928,221022,"62102200",0x00(0)
475.975,2210A6,"6210A609",0x09(9)
476.027,2210A8,"6210A800",0x00(0)
476.082,22101F,"7F2231",ERR
476.130,2210B0,"6210B027",0x27(39)
476.902,221022,"62102200",0x00(0)
476.950,2210A6,"6210A60D",0x0D(13)
476.994,2210A8,"6210A844",0x44(68)
477.063,22101F,"7F2231",ERR
477.133,2210B0,"6210B027",0x27(39)
477.513,2210B1,"6210B100",0x00(0)
478.297,221022,"62102200",0x00(0)
478.351,2210A6,"6210A612",0x12(18)
478.403,2210A8,"6210A842",0x42(66)
478.460,22101F,"7F2231",ERR
478.508,2210B0,"6210B027",0x27(39)
479.148,223050,"7F2231",ERR
479.206,22309A,"7F2231",ERR
479.369,22104F,"62104F73",0x73(115)
480.253,221022,"62102200",0x00(0)
480.303,2210A6,"6210A60A",0x0A(10)
480.361,2210A8,"6210A800",0x00(0)
480.422,22101F,"7F2231",ERR
480.493,2210B0,"6210B027",0x27(39)
481.476,221022,"62102200",0x00(0)
481.549,2210A6,"6210A600",0x00(0)
481.610,2210A8,"6210A844",0x44(68)
481.668,22101F,"7F2231",ERR
481.728,2210B0,"6210B027",0x27(39)
482.101,2210B1,"6210B100",0x00(0)
482.682,221022,"62102200",0x00(0)
482.738,2210A6,"6210A600",0x00(0)
482.788,2210A8,"6210A843",0x43(67)
482.845,22101F,"7F2231",ERR
482.904,2210B0,"6210B027",0x27(39)
483.677,223050,"7F2231",ERR
483.729,22309A,"7F2231",ERR
483.831,22104F,"62104F73",0x73(115)
484.518,221022,"62102200",0x00(0)
484.564,2210A6,"6210A60A",0x0A(10)
484.612,2210A8,"6210A800",0x00(0)
484.661,22101F,"7F2231",ERR
484.735,2210B0,"6210B027",0x27(39)
485.569,221022,"62102200",0x00(0)
485.612,2210A6,"6210A60A",0x0A(10)
485.660,2210A8,"6210A844",0x44(68)
485.715,22101F,"7F2231",ERR
485.787,2210B0,"6210B027",0x27(39)
486.504,221022,"62102200",0x00(0)
486.548,2210A6,"6210A610",0x10(16)
486.594,2210A8,"6210A844",0x44(68)
486.640,22101F,"7F2231",ERR
486.701,2210B0,"6210B027",0x27(39)
486.749,2210B1,"6210B100",0x00(0)
487.565,221022,"62102200",0x00(0)
487.618,2210A6,"6210A60F",0x0F(15)
487.665,2210A8,"6210A844",0x44(68)
487.711,22101F,"7F2231",ERR
487.768,2210B0,"6210B027",0x27(39)
488.136,223050,"7F2231",ERR
488.186,22309A,"7F2231",ERR
488.297,22104F,"62104F73",0x73(115)
489.184,221022,"62102200",0x00(0)
489.234,2210A6,"6210A60D",0x0D(13)
489.286,2210A8,"6210A844",0x44(68)
489.335,22101F,"7F2231",ERR
489.381,2210B0,"6210B027",0x27(39)
490.086,221022,"62102200",0x00(0)
490.151,2210A6,"6210A600",0x00(0)
490.195,2210A8,"6210A844",0x44(68)
490.245,22101F,"7F2231",ERR
490.295,2210B0,"6210B027",0x27(39)
490.498,2210B1,"6210B100",0x00(0)
491.234,221022,"62102200",0x00(0)
491.282,2210A6,"6210A600",0x00(0)
491.328,2210A8,"6210A800",0x00(0)
491.381,22101F,"7F2231",ERR
491.426,2210B0,"6210B027",0x27(39)
491.884,223050,"7F2231",ERR
491.934,22309A,"7F2231",ERR
492.027,22104F,"62104F73",0x73(115)
492.799,221022,"62102200",0x00(0)
492.841,2210A6,"6210A600",0x00(0)
